Depth  Name          #Inst  Area (um^2)
---------------------------------------
0      dec_38        14     63.5796    
1      dec3          6      27.2484    
1      dec2          6      27.2484    
1      dec1          2      9.0828     
2      dec3/dec_2    2      9.0828     
2      dec2/dec_2    2      9.0828     
2      dec3/dec_3    2      9.0828     
2      dec3/dec_1    2      9.0828     
2      dec2/dec_3    2      9.0828     
2      dec2/dec_1    2      9.0828     
